Framework,Model,Data Scale,Data Rows,Train Rows,Test Rows,Features,Preprocessing Time (s),Training Time (s),Prediction Time (s),Total Time (s),RMSE,MAE,R2,Cluster Nodes,Partitions,Avg CPU Utilization (%),RAM Utilization (%),Peak RAM (GB),Disk Usage (GB),Disk I/O (MB/s),Network I/O (MB/s),CPU Cores Used,Worker 1 CPU (%),Worker 2 CPU (%),Worker 3 CPU (%),Worker 4 CPU (%),Worker 5 CPU (%),Worker 6 CPU (%),Worker 7 CPU (%)
Distributed,CatBoost,1M,998361,798788,199573,27,10.21,5.2,1.29,16.7,14.7858,10.5704,0.8421,1,5,71.1,41.9,5.03,1.42,60.1,8.9,4,70.2%,69.3%,70.4%,75.3%,70.2%,,
Single-Node,CatBoost,1M,998361,798788,199573,27,0.71,4.33,3.1,5.05,13.2308,9.3498,0.8736,1,1,55.0,57.6,4.61,0.82,44.5,0.0,4,,,,,,,
Distributed,LightGBM,1M,998361,798788,199573,27,10.21,12.12,0.8,132.13,14.2555,10.1061,0.8532,1,5,69.8,40.2,4.82,1.23,43.7,16.3,4,70.6%,66.3%,67.2%,75.5%,69.4%,,
Single-Node,LightGBM,1M,998361,798788,199573,27,0.71,8.41,1.6,9.72,13.2252,9.3607,0.8737,1,1,62.8,45.2,3.62,0.73,28.9,0.0,4,,,,,,,
Distributed,Random Forest,1M,998361,798788,199573,27,10.21,17.4,0.24,28.54,14.9563,10.8902,0.8385,1,5,68.6,44.0,5.28,1.35,67.2,11.3,4,67.8%,67.0%,70.1%,71.4%,66.8%,,
Single-Node,Random Forest,1M,998361,798788,199573,27,0.71,66.74,0.96,67.7,13.3939,9.4355,0.8705,1,1,52.3,53.2,4.26,0.72,44.7,0.0,4,,,,,,,
Distributed,XGBoost,1M,998361,798788,199573,27,10.21,4.81,1.39,16.41,14.14,10.0066,0.8556,1,5,70.8,40.9,4.91,1.4,62.9,11.9,4,71.4%,68.8%,69.4%,74.4%,70.0%,,
Single-Node,XGBoost,1M,998361,798788,199573,27,0.71,49.64,4.13,50.48,13.1885,9.3004,0.8744,1,1,63.0,53.1,4.25,0.85,43.6,0.0,4,,,,,,,
Distributed,CatBoost,3M,2994954,2396322,598632,27,9.74,9.78,2.15,21.67,14.8308,10.5635,0.8409,1,7,76.3,59.4,7.13,2.68,89.6,28.7,6,78.9%,69.2%,79.0%,75.1%,79.0%,77.3%,75.5%
Single-Node,CatBoost,3M,2994954,2396322,598632,27,2.5,52.39,5.03,14.92,13.2689,9.3576,0.8732,1,1,58.6,73.4,5.87,1.61,69.3,0.0,4,,,,,,,
